"ID","tSS","tinf","tp","tc","Vp","Tp","Tc","Tincub","infected"
30,0,-5.08320807376757,1.54125867138784,18.3696978515462,20.566867662252,6.62446674515542,16.8284391801584,5.08320807376757,1
31,0,-4.51009778623588,3.65094455035079,18.4464309604285,15.672275030838,8.16104233658667,14.7954864100777,4.51009778623588,1
32,0,-6.33777837963518,0.120615723539279,11.4443888203477,21.7078124301259,6.45839410317446,11.3237730968084,6.33777837963518,1
33,0,-5.26489409203785,-0.637297880937225,12.9403635229469,30.8431487218999,4.62759621110063,13.5776614038841,5.26489409203785,1
34,0,-6.4624564573702,0.212695826835457,15.6774285575225,19.6054055311008,6.67515228420566,15.4647327306871,6.4624564573702,1
35,0,-4.91764431034639,1.09480921630771,11.2591306745581,17.7960483759737,6.0124535266541,10.1643214582504,4.91764431034639,1
36,0,-6.31031018145277,-1.44756451844779,13.3430098573944,29.7647516609239,4.86274566300497,14.7905743758422,6.31031018145277,1
37,0,-5.42882194633099,1.81847104795436,15.8871674152076,24.5681912779847,7.24729299428535,14.0686963672532,5.42882194633099,1
38,0,-6.1287179040401,-0.242357718906773,15.7882053614327,26.2854150960766,5.88636018513333,16.0305630803394,6.1287179040401,1
39,0,-4.70168327003646,0.67650461009169,13.2284920187472,22.7769055675533,5.37818788012815,12.5519874086555,4.70168327003646,1
40,0,-5.08028264066138,-0.0771949238419545,16.4006051039714,20.5405111256843,5.00308771681943,16.4778000278133,5.08028264066138,1
41,0,-5.22087448766568,1.34379676637084,17.1799766971695,20.9579263025738,6.56467125403652,15.8361799307987,5.22087448766568,1
42,0,-4.78199792732419,0.259534254154635,14.2322438722807,21.129992885914,5.04153218147883,13.9727096181261,4.78199792732419,1
43,0,-4.87966108334525,1.52882770310749,18.8128802184814,20.3807362311257,6.40848878645274,17.2840525153739,4.87966108334525,1
44,0,-3.89226567576203,2.2949645664295,19.4795113683866,26.8709159873409,6.18723024219152,17.1845468019571,3.89226567576203,1
45,0,-4.60904244615886,0.793568083714028,16.8935195392254,27.9431354593681,5.40261052987289,16.0999514555114,4.60904244615886,1
46,0,-5.0518990167087,0.169501257716682,16.071983146357,25.1045603943069,5.22140027442538,15.9024818886403,5.0518990167087,1
47,0,-4.66884935054953,0.48496511245856,16.7065254301154,26.2740768369447,5.15381446300809,16.2215603176569,4.66884935054953,1
48,0,-4.24805050002328,2.32190808083833,19.5014306641429,27.5359643463476,6.56995858086162,17.1795225833046,4.24805050002328,1
49,0,-4.51417136597588,3.26865446153147,22.6162633475068,36.2966357925186,7.78282582750735,19.3476088859753,4.51417136597588,1
50,0,-4.84469396818438,0.848559601766692,13.9851248966206,33.5445055506052,5.69325356995107,13.1365652948539,4.84469396818438,1
51,0,-5.38223664913487,1.80018997252962,18.8565585283457,25.7291690967302,7.18242662166449,17.056368555816,5.38223664913487,1
52,0,-5.65278246347125,1.34325994486528,16.7420905020088,31.555801843178,6.99604240833652,15.3988305571435,5.65278246347125,1
